80,30,49
66,51,3
81,37,69
88,98,51
16,43,6
28,75,28
65,98,37
29,32,24
77,56,1
39,52,12
27,76,21
40,26,3
13,59,5
76,82,0
85,61,60
99,07,4
37,26,83
82,37,93
86,61,59
72,22,9
55,23,8
61,64,0
16,34,38
16,51,89
74,73,61
51,49,79
34,45,1
62,51,37
71,36,0
28,30,8
55,35,22
72,42,35
15,64,97
56,76,12
96,48,20
63,91,83
28,22,23
16,78,30
83,73,15
47,18,40
01,09,20
57,64,28
53,10,61
03,83,89
56,21,51
21,02,79
83,96,21
27,65,88
38,79,17
16,34,24
50,77,43
08,93,51
60,43,71
69,56,07
49,28,07
29,08,15
43,48,08
63,14,62
91,33,74
01,95,61
42,04,15
90,78,86
93,61,63
13,73,50
98,11,52
68,00,68
64,74,23
81,18,46
53,07,58
51,24,61
52,22,92
55,48,90
32,43,43
20,44,52
93,45,72
85,90,54
96,95,61
44,79,25
57,80,01
57,30,51
74,08,77
94,77,40
90,42,74
70,59,48
53,12,67
98,33,79
39,22,62
31,38,76
95,39,43
46,19,82
98,14,51
75,39,74
06,29,70
56,82,41
63,67,16
74,13,03
42,71,08
65,11,14
73,60,97
36,02,90
31,19,70
02,20,89
29,63,27
93,05,20
98,39,13
61,03,71
15,05,67
99,98,32
80,10,97
55,77,31
60,36,09
59,77,13
79,53,21
22,06,24
13,78,47
37,19,71
83,59,50
37,73,85
65,95,31
60,25,26
49,49,28
89,73,27
71,33,91
19,50,67
12,34,48
88,61,76
20,70,86
22,47,15
05,37,33
46,06,56
61,18,62
77,87,51
88,32,21
68,81,03
54,97,48
92,65,74
87,47,22
63,10,25
86,22,00
38,47,93
35,20,04
94,78,24
90,23,34
94,96,70
30,09,52
30,33,34
59,95,37
90,67,80
64,20,97
44,84,91
06,49,38
39,57,77
10,99,78
57,86,80
21,01,00
81,12,90
05,26,88
87,79,32
12,42,15
92,08,80
48,31,11
48,04,43
65,47,43
31,75,58
24,84,64
83,87,84
31,06,79
39,06,23
61,77,81
42,95,21
40,17,75
01,84,02
65,18,86
93,55,37
62,37,25
36,11,52
44,75,01
52,21,56
92,99,58
83,13,21
08,90,38
03,49,21
21,54,12
19,54,25
86,84,49
89,12,20
77,48,22
24,65,10
38,97,02
24,00,12
62,79,91
96,11,73
12,30,49
37,58,38
43,95,82
03,91,97
33,38,16
47,82,14
61,15,06
75,48,32
03,38,04
78,62,87
44,11,49
57,30,25
47,06,94
85,30,28
99,51,26
25,99,43
21,59,26
53,19,02
02,85,18
25,59,23
68,74,50
43,35,98
76,96,74
23,26,59
75,01,92
59,05,23
02,60,65
20,97,50
53,91,69
78,92,05
07,23,27
14,77,65
50,10,39
22,91,30
52,68,56
05,84,52
21,32,00
39,49,35
54,38,53
13,75,89
78,17,05
91,27,23
23,56,44
23,47,54
80,28,48
91,32,84
68,38,20
76,18,75
30,64,76
39,14,59
10,94,30
06,75,71
91,55,81
90,06,93
37,91,79
30,17,18
03,69,15
34,04,52
96,97,03
44,51,50
27,63,43
88,37,77
47,98,06
63,29,62
53,24,83
97,99,79
66,44,67
79,08,91
81,39,88
28,12,77
36,14,42
64,44,44
29,21,96
10,41,68
29,30,12
03,42,01
53,49,88
42,57,14
41,13,05
21,74,85
21,55,21
05,08,40
88,29,06
42,97,90
64,39,27
45,51,61
39,00,82
12,46,08
68,43,51
56,59,92
82,95,07
