66,62,24
62,51,63
88,30,16
71,74,00
04,22,65
26,44,65
99,47,15
06,35,18
05,09,77
29,91,22
06,51,94
12,51,47
96,93,44
42,10,61
55,20,56
87,30,43
79,34,48
88,94,93
47,37,49
57,57,48
39,41,62
03,50,49
79,98,43
95,04,51
98,15,05
43,72,74
05,38,02
92,19,52
76,02,40
33,52,09
11,77,06
92,48,79
02,64,32
23,15,17
15,82,00
08,01,30
04,74,27
56,47,46
00,93,19
22,21,43
51,26,43
42,55,36
74,14,48
90,82,47
07,26,06
86,18,44
76,62,57
16,58,21
12,46,47
97,64,44
55,52,99
27,00,23
97,90,93
87,67,03
40,78,90
60,85,64
72,54,53
32,20,35
45,87,79
93,47,28
63,69,16
87,55,60
90,27,54
76,70,02
80,47,15
97,38,81
21,15,32
31,20,23
52,16,90
36,40,81
89,22,34
33,08,81
36,77,18
76,46,05
05,76,13
76,76,81
93,00,18
00,47,91
28,76,74
04,53,75
16,51,46
16,70,03
99,17,58
18,08,17
12,96,99
63,11,67
35,52,56
67,18,17
97,06,84
05,61,97
24,53,63
67,81,38
14,37,61
05,31,87
81,58,88
61,66,82
09,26,54
81,04,60
98,45,71
64,15,09
51,11,03
98,51,04
72,85,58
72,90,29
70,76,12
95,36,30
81,99,99
61,66,34
84,56,37
51,18,35
57,38,76
82,80,53
12,24,86
41,43,84
24,67,97
97,14,78
80,69,76
63,88,25
77,38,71
42,18,18
41,36,69
24,60,20
14,60,23
07,35,20
32,67,90
54,08,97
82,00,83
54,07,27
42,89,72
23,78,28
06,49,16
90,34,96
16,64,56
59,48,89
66,57,15
19,51,75
70,08,62
81,08,22
99,91,35
81,97,49
07,63,73
95,65,13
56,99,86
22,35,55
21,85,18
76,65,77
45,87,91
09,29,44
03,63,25
61,78,07
24,17,25
59,66,86
51,60,55
92,91,39
02,67,37
42,97,02
11,34,88
93,81,86
26,57,22
09,07,28
63,35,59
24,44,00
37,64,27
34,26,43
87,57,80
66,18,72
28,60,95
60,83,77
85,71,78
92,12,41
61,71,37
47,94,91
48,38,92
54,41,83
53,22,75
37,35,65
71,70,04
63,69,39
76,53,40
88,64,71
09,36,77
57,57,16
00,03,10
39,79,34
14,15,18
31,64,23
54,86,47
68,42,20
53,61,32
41,33,38
81,89,84
46,74,97
66,58,09
39,78,02
12,47,62
30,29,40
92,90,92
43,15,87
59,55,45
69,12,44
65,41,21
31,08,20
08,01,57
39,59,10
82,04,42
46,13,81
17,42,18
03,73,54
53,46,19
98,83,91
83,94,23
32,93,74
00,82,37
44,58,45
03,94,55
74,07,30
00,84,76
82,95,07
56,59,92
68,43,51
